freq	variable
1	7depress
2	minty83
1	AlexCuba15
1	trivelasamet
1	husain_salih
1	RubenMejermo
2	rosenderevies
1	Abhiram_V_V_S
1	iDeller_
1	ton__kamel
1	lavaronita
1	NKSA_Adam
1	AndresNelso
1	WildSinceDayOne
1	idrrrc
1	MHaidar_10
1	esther_ch5
4	elaynedelayne
1	echosays
1	hesmington
1	berkay1907__fb
1	Doudoufane
1	SILFIDE2014
5	KMpolesha
1	Rose7Hathaway
1	kaygosh
1	Tavo_Garcia9
6	zachmatovski9
1	samboy11s
1	Leni_Tim
1	moabuelgasim
1	AdelKhElhadary
1	merrigfl
1	__AnnaOliveiraa
1	Bruneelke
2	Giovani2533
1	JorgeMBerdugo
1	carbo_la
1	CMorrisonJ
1	Gayusblizz
2	AlexGueshKabyle
1	rrobb_
2	junebug_lee
1	MaciekLegia11
1	joeymarti
3	tomthetank46
3	ZubyxR
1	serg_juscool
1	JuanFajardo84
2	torredemarfim
1	ALEJANDROGATOR
1	expiergirl
1	MWGiess
1	hirtus
1	jonas7mm
1	kamranali91
1	JTerroni92
5	JusShazzz
1	LucasPacheco22
1	RollJimenez
1	MaxmillianJr44
1	johannaolesen
1	illwaitljam
20	GOmasumi1
1	rockoftinita
14	HamanneyQ8
1	HTC_Gunnin
1	TesDeLuxe
3	PabloRM_CR
1	HugoElPensador
1	MinajxStyles
4	PulzoCol
3	adamnowacki5
1	newage_author
1	raphaeljourez
1	Buddy_Crystal
6	LoscarWill
1	JAMEANdakilla
1	fraanmartins29
1	ayo_deszy
1	IamLilMike_
1	joshfarley
1	mattybirks
2	KevinouLenzi
1	guspalacios7
2	HenryBushnell
1	aoismire
1	duncanstorey60
1	VictorJG63
1	Sandraniita
2	GumbleRay
1	DejviRbr
3	CocaCola_Gt
1	Hannahmay_skier
2	pautorrico
1	Clemence_Lbi
1	esedane
1	haryodutto
1	MichelleLeydon
1	fitzy955
1	TheAlanB15
1	MHN_24101
2	cryder820
2	RealEricHenley
1	Yulii_Lunachars
1	lvieyra_
1	JessHinojosa
2	TenzinZH
2	Squidyluna
5	SportsCenter_nt
3	Mareelge
1	inesbrks
1	beyazyildiz69
1	YungChanMingLee
33	macha_oji
1	suboortariq
1	TheDevilEstela
2	jessicaposas
1	Tdub55Tyler
1	LorenaGnzlz
1	irpanhh
1	ianreece48
3	crisgaribay
1	R26JonB
2	michaelgblanco
1	uydolu
1	dUvaLinaDHDz
1	rafinhamarin
1	Bron3o5
2	Doctor_Rad
1	mistur_ayo
1	chantally_nacho
1	LucasDegiorgi
1	TylerCarter0924
1	YasFriends
1	FahNapassawan
1	David62121
1	spin20081
2	Juananauer33
1	ayo_turtle2
7	hiphopement_
1	Aguirre_A_Luis
1	Chikara1112
1	w_dirtyd
1	alexannp
1	mishal24
1	75013Sousou
1	ndcole27
1	wilsher92_3
1	zachthayes
1	marcostoscani
1	10Billylewis10
1	charlieleeson13
1	vandvblog
1	elvick_end
1	PauuGarate
1	FTorResCarmona
1	Baweee_R1
1	MILTONAR32
1	__LuanaRocha
3	manueariza
1	souther0603
1	ashtonshakur
1	Endri_b5
2	Arturo_Ulises
1	bibibababooboo
1	scottystreetjr
1	vvvMAN2206
2	MarioFM010
1	JibreenA
1	carlascari
1	Juan_nCamilo
1	hanytosali
1	Ian_Meyer1
1	NateHamii
3	ecfly23
1	Ant_Cabral27
3	EmperorLorenzo
1	italgerianaa
1	roge0585
1	GabiSolisM
1	chiarabiasi
2	m_mikias
1	golazo_el
1	Eken84
1	Q_Lec
1	LeJournalduK
1	alfredot107
1	sorridiloulou
1	fordahoes
1	AndrsLpezLpez
1	Guy_Acurero
